KEYid,School Name,State,City,School Ranking,ACT Avg,SAT Avg,HS GPA Avg,Total Enrollment,Acceptance Rate,Percent Receiving Aid,Cost after Aid,Total Tuiton,Is Public?
1448,Howard University,DC,Washington,110,22,1040,3.5,5899,30.00%,50.00%,33124,25697,TRUE
1051,University of Alabama,AL,Tuscaloosa,110,23,980,3.7,32563,53.00%,27.00%,26861,28100,TRUE
1325,University of San Francisco,CA,San Francisco,110,23,1030,3.4,6745,71.00%,46.00%,42433,46250,TRUE
1329,University of the Pacific,CA,Stockton,110,23,1030,3.5,3483,66.00%,67.00%,37188,46346,TRUE
3675,University of Utah,UT,Salt Lake City,110,21,1050,3.6,23789,76.00%,11.00%,35873,26408,TRUE
1081,Arizona State University--Tempe,AZ,Tempe,115,22,1020,3.5,42477,83.00%,31.00%,37446,27372,TRUE
1869,Iowa State University,IA,Ames,115,22,980,3.6,30671,87.00%,34.00%,27241,22256,TRUE
3371,Temple University,PA,Philadelphia,115,24,1050,3.6,29275,52.00%,37.00%,35109,27266,TRUE
1948,University of Kansas,KS,Lawrence,115,23,,3.6,19262,93.00%,30.00%,30962,26592,TRUE
2345,University of St. Thomas,MN,St. Paul,115,24,1050,3.6,6111,83.00%,55.00%,34299,41133,TRUE
1437,The Catholic University of America,DC,Washington,120,23,1040,3.4,3241,80.00%,54.00%,35518,44060,TRUE
1671,DePaul University,IL,Chicago,120,22,1030,3.6,15407,70.00%,59.00%,42438,39010,TRUE
3258,Duquesne University,PA,Pittsburgh,120,24,1055,3.7,6039,74.00%,65.00%,29185,36394,TRUE
2516,University of Missouri,MO,Columbia,120,23,1020,,25898,75.00%,33.00%,27962,26506,TRUE
2699,Clarkson University,NY,Potsdam,124,24,1080,3.6,3268,68.00%,79.00%,33669,47950,TRUE
1350,Colorado State University,CO,Fort Collins,124,22,1020,3.6,25177,78.00%,16.00%,39497,29140,TRUE
2292,Michigan Technological University,MI,Houghton,124,25,1073,3.7,5829,76.00%,28.00%,38217,32318,TRUE
2632,Seton Hall University,NJ,South Orange,124,23,1070,3.6,5956,67.00%,0.00%,,40588,TRUE
1083,University of Arizona,AZ,Tucson,124,21,970,3.5,34072,79.00%,29.00%,35051,32449,TRUE
1316,University of California--Riverside,CA,Riverside,124,21,940,3.7,19799,66.00%,15.00%,41753,41931,TRUE
3127,University of Dayton,OH,Dayton,124,24,1030,3.7,8330,60.00%,46.00%,34204,41750,TRUE
2565,University of Nebraska--Lincoln,NE,Lincoln,124,22,990,3.5,20833,75.00%,21.00%,28968,23256,TRUE
2732,Hofstra University,NY,Hempstead,132,24,1070,3.6,6899,62.00%,61.00%,40205,43960,TRUE
2010,Louisiana State University--Baton Rouge,LA,Baton Rouge,133,23,1010,3.4,26118,76.00%,14.00%,40711,28051,TRUE
1580,Mercer University,GA,Macon,133,25,1100,3.8,4706,69.00%,67.00%,26615,36000,TRUE
20662,The New School,NY,New York,133,23,1030,3.3,7014,60.00%,41.00%,50853,47330,TRUE
2631,Rutgers University--Newark,NJ,Newark,133,,910,,8170,65.00%,26.00%,38949,29480,TRUE
1108,University of Arkansas,AR,Fayetteville,133,23,1010,3.7,22548,63.00%,16.00%,33514,24308,TRUE
3125,University of Cincinnati,OH,Cincinnati,133,23,1030,3.6,25860,76.00%,28.00%,35124,26334,TRUE
1989,University of Kentucky,KY,Lexington,133,22,980,3.7,22621,91.00%,0.00%,,28046,TRUE
3749,George Mason University,VA,Fairfax,140,24,1060,3.7,23812,81.00%,39.00%,38588,34370,TRUE
2621,New Jersey Institute of Technology,NJ,Newark,140,23,1110,3.5,8211,59.00%,35.00%,18674,31034,TRUE
1151,San Diego State University,CA,San Diego,140,23,1000,3.7,29853,35.00%,32.00%,31354,19340,TRUE
1537,University of South Florida,FL,Tampa,140,24,1070,3.9,31461,47.00%,25.00%,23103,17324,TRUE
3800,Washington State University,WA,Pullman,140,20,930,3.4,24904,72.00%,37.00%,30666,25817,TRUE
1928,Kansas State University,KS,Manhattan,145,22,950,3.5,19472,94.00%,22.00%,34621,24775,TRUE
3210,Oregon State University,OR,Corvallis,145,22,990,3.7,25327,77.00%,34.00%,36636,29457,TRUE
2821,St. John Fisher College,NY,Rochester,145,22,970,3.6,2786,65.00%,81.00%,28750,33120,TRUE
1776,University of Illinois--Chicago,IL,Chicago,145,21,990,3.3,17959,74.00%,31.00%,39033,27672,TRUE
2440,University of Mississippi,MS,University,145,22,1000,3.6,19213,78.00%,24.00%,27943,23554,TRUE
9741,University of Texas--Dallas,TX,Richardson,145,25,1140,,17350,68.00%,28.00%,37028,33654,TRUE
2666,Adelphi University,NY,Garden City,151,22,1010,3.6,5205,70.00%,0.00%,,37170,TRUE
1469,Florida Institute of Technology,FL,Melbourne,151,24,1060,3.6,3629,61.00%,0.00%,,41240,TRUE
3100,Ohio University,OH,Athens,151,21,990,3.5,23788,75.00%,0.00%,,21360,TRUE
3788,Seattle Pacific University,WA,Seattle,151,21,990,3.5,3095,87.00%,0.00%,,40893,TRUE
2835,University at Albany--SUNY,NY,Albany,151,22,1010,3.2,13139,54.00%,0.00%,,24358,TRUE
3170,Oklahoma State University,OK,Stillwater,156,21,970,3.5,21093,75.00%,0.00%,,23776,TRUE
2161,University of Massachusetts--Lowell,MA,Lowell,156,24,1070,3.6,13639,60.00%,0.00%,,31865,TRUE
3414,University of Rhode Island,RI,Kingston,156,22,990,3.5,14801,71.00%,0.00%,,28874,TRUE
1122,Biola University,CA,La Mirada,159,21,950,3.5,4091,65.00%,0.00%,,38448,TRUE
1692,Illinois State University,IL,Normal,159,21,,3.4,18643,89.00%,0.00%,,25168,TRUE
1052,University of Alabama--Birmingham,AL,Birmingham,159,21,965,3.7,12369,89.00%,0.00%,,23790,TRUE
1610,University of Hawaii--Manoa,HI,Honolulu,159,21,970,3.5,13132,80.00%,0.00%,,33764,TRUE
1216,University of La Verne,CA,La Verne,159,20,930,3.5,2809,48.00%,0.00%,,41450,TRUE
2105,University of Maryland--Baltimore County,MD,Baltimore,159,24,1120,,11142,57.00%,0.00%,,25654,TRUE
3276,Immaculata University,PA,Immaculata,165,18,860,3.3,1555,82.00%,0.00%,,27350,TRUE
2482,Maryville University of St. Louis,MO,St Louis,165,22,900,3.6,2967,93.00%,0.00%,,28470,TRUE
2517,Missouri University of Science & Technology,MO,Rolla,165,25,1186,3.6,6909,79.00%,0.00%,,27701,TRUE
2823,St. John's University,NY,Queens,165,22,970,3.5,16440,63.00%,0.00%,,40790,TRUE
