KEYid,School Name,State,City,School Ranking,ACT Avg,SAT Avg,HS GPA Avg,Total Enrollment,Acceptance Rate,Percent Receiving Aid,Cost after Aid,Total Tuiton,Is Public?
3737,Shenandoah University,VA,Winchester,223,19,880,3.4,2099,88.00%,0.00%,,31920,TRUE
10300,University of South Dakota,SD,Vermillion,223,19,830,3,7500,88.00%,0.00%,,11688,TRUE
2329,Wayne State University,MI,Detroit,223,20,983,3.4,17280,68.00%,0.00%,,28590,TRUE
2114,American International College,MA,Springfield,-1,16,790,,1424,64.00%,0.00%,,33140,TRUE
1579,Augusta University,GA,Augusta,-1,,930,,5133,74.00%,0.00%,,23606,TRUE
1466,Barry University,FL,Miami Shores,-1,18,850,,3541,62.00%,0.00%,,29700,TRUE
1616,Boise State University,ID,Boise,-1,20,910,3.4,20209,82.00%,0.00%,,22642,TRUE
3837,Cardinal Stritch University,WI,Milwaukee,-1,18,973,3.1,1534,82.00%,0.00%,,28844,TRUE
1551,Clark Atlanta University,GA,Atlanta,-1,18,820,3.2,3093,72.00%,0.00%,,23082,TRUE
3032,Cleveland State University,OH,Cleveland,-1,19,890,3.3,12433,88.00%,0.00%,,13848,TRUE
2259,Eastern Michigan University,MI,Ypsilanti,-1,19,910,3.3,17541,73.00%,0.00%,,11530,TRUE
3487,East Tennessee State University,TN,Johnson City,-1,20,920,3.5,11065,80.00%,0.00%,,26463,TRUE
1481,Florida Atlantic University,FL,Boca Raton,-1,20,950,4,25402,60.00%,0.00%,,21595,TRUE
1572,Georgia Southern University,GA,Statesboro,-1,22,1030,3.3,18005,65.00%,0.00%,,18692,TRUE
9563,Indiana State University,IN,Terre Haute,-1,16,790,3.1,11202,86.00%,0.00%,,19454,TRUE
3277,Indiana University of Pennsylvania,PA,Indiana,-1,,840,,10618,92.00%,0.00%,,15882,TRUE
2410,Jackson State University,MS,Jackson,-1,16,810,2.9,7492,69.00%,0.00%,,17614,TRUE
1577,Kennesaw State University,GA,Kennesaw,-1,21,1000,3.3,32166,59.00%,0.00%,,21158,TRUE
3581,Lamar University,TX,Beaumont,-1,18,860,3.2,9326,76.00%,0.00%,,22561,TRUE
10392,Liberty University,VA,Lynchburg,-1,21,950,3.5,47050,28.00%,0.00%,,24304,TRUE
2480,Lindenwood University,MO,St. Charles,-1,20,920,3.3,7549,55.00%,0.00%,,16960,TRUE
3510,Middle Tennessee State University,TN,Murfreesboro,-1,19,950,3.4,19693,69.00%,0.00%,,27578,TRUE
2083,Morgan State University,MD,Baltimore,-1,16,800,3,6362,60.00%,0.00%,,17833,TRUE
2905,North Carolina A&T State University,NC,Greensboro,-1,18,850,3.5,9668,54.00%,0.00%,,19416,TRUE
1082,Northern Arizona University,AZ,Flagstaff,-1,20,940,3.6,26506,78.00%,0.00%,,24841,TRUE
1737,Northern Illinois University,IL,DeKalb,-1,19,,3.3,14079,52.00%,0.00%,,23817,TRUE
2307,Oakland University,MI,Rochester,-1,20,805,3.4,16568,86.00%,0.00%,,24735,TRUE
3728,Old Dominion University,VA,Norfolk,-1,18,890,3.3,19793,85.00%,0.00%,,28200,TRUE
3216,Portland State University,OR,Portland,-1,19,930,3.4,21633,89.00%,0.00%,,21180,TRUE
3630,Prairie View A&M University,TX,Prairie View,-1,15,750,3,7455,85.00%,0.00%,,10059,TRUE
30913,Regent University,VA,Virginia Beach,-1,19,920,3.5,3806,83.00%,0.00%,,17450,TRUE
3606,Sam Houston State University,TX,Huntsville,-1,19,870,,17902,72.00%,0.00%,,22340,TRUE
1154,San Francisco State University,CA,San Francisco,-1,18,860,3.2,25945,68.00%,0.00%,,19134,TRUE
3522,Tennessee State University,TN,Nashville,-1,16,788,2.9,7007,53.00%,0.00%,,20178,TRUE
3523,Tennessee Technological University,TN,Cookeville,-1,21,960,3.6,9437,67.00%,0.00%,,26190,TRUE
3565,Texas A&M University--Commerce,TX,Commerce,-1,17,850,3.3,7605,45.00%,0.00%,,20884,TRUE
11161,Texas A&M University--Corpus Christi,TX,Corpus Christi,-1,17,850,3.3,10212,86.00%,0.00%,,26061,TRUE
3639,Texas A&M University--Kingsville,TX,Kingsville,-1,17,850,3.3,6811,82.00%,0.00%,,20912,TRUE
3642,Texas Southern University,TX,Houston,-1,15,715,2.9,6562,51.00%,0.00%,,21240,TRUE
3615,Texas State University,TX,San Marcos,-1,20,930,,34244,71.00%,0.00%,,23071,TRUE
