Degree Type,Course Title,Institution Name,City Name,Subject,Language,Beginning Semester,Duration,Tuition Fee,Detail Link
Master's degree,Micro and Nano Systems,Chemnitz University of Technology,Chemnitz,Electrical Engineering,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4103/
Master's degree,Micro- and Nanoelectronics – Master's Study Programme,RWTH Aachen University,Aachen,Engineering in general,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4811/
Master's degree,Microelectronics and Microsystems,Hamburg University of Technology,Hamburg,Electrical Engineering,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3751/
Master's degree,Mining Engineering (MSc),Clausthal University of Technology,Clausthal-Zellerfeld,"Mining, Metallurgy",English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4505/
Master's degree,"Mobility Systems Engineering & Management (MSc, Executive) at HECTOR School",Karlsruhe Institute of Technology,Karlsruhe,Mechanical Engineering / Process Engineering,English,Winter semester,4 semesters,"EUR 7,500",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4554/
Master's degree,Modern Indian Studies,University of Göttingen,Göttingen,"Law, Economics and Social Sciences in general",English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4150/
Master's degree,Modern Sinology,University of Göttingen,Göttingen,Regional Studies,"English, Chinese",Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4675/
Master's degree,Molecular and Cellular Biology (Master of Science),Ludwig-Maximilians-Universität München,München,Biology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4235/
Master's degree,"Molecular and Computational Biology, Master of Science",Julius-Maximilians-Universität Würzburg,Würzburg,Biology,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4644/
Master's degree,Molecular Bioengineering,Dresden University of Technology,Dresden,Biology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3613/
Master's degree,Molecular Biology — International Max Planck Research School (MSc/PhD),University of Göttingen,Göttingen,Biology,English,Winter semester,2 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3672/
Master's degree,Molecular Biosciences and Productive Biosystems (MBioPro),Dresden University of Technology,Dresden,Biology,English,Summer semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7638/
Master's degree,Molecular Biosciences MSc,Heidelberg University,Heidelberg,Biology,English,Winter semester,4 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3878/
Master's degree,Molecular Cell Biology,University of Bonn,Bonn,Biology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8906/
Master's degree,"Molecular Life Sciences: Microbiology, Biotechnology and Biochemistry (MSc/PhD)",University of Göttingen,Göttingen,Biology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4072/
Master's degree,Molecular Medicine (Master of Science),University of Tübingen,Tübingen,Biology,English,Winter semester,2 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4519/
Master's degree,Molecular Plant Science,Universität Hamburg,Hamburg,Biology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9052/
Master's degree,Molecular Sciences – Spectroscopy and Simulation,Ruhr-Universität Bochum,Bochum,Chemistry,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4237/
Master's degree,Money and Finance (MSc),Goethe University Frankfurt,Frankfurt am Main,Business and Economics,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4306/
Master's degree,MSc Advanced (Systems) Engineering & Engineering Management,South Westphalia University of Applied Sciences,Soest,Electrical Engineering,English,"Winter semester, Summer semester",3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4062/
Master's degree,MSc Advanced Materials and Processes (MAP),FAU Erlangen-Nürnberg,Erlangen,Engineering in general,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3762/
Master's degree,MSc Advanced Optical Technologies (MAOT),FAU Erlangen-Nürnberg,Erlangen,Engineering in general,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4046/
Master's degree,MSc Applied Computer Science,Deggendorf Institute of Technology,Deggendorf,Computer Science,English,"Winter semester, Summer semester",3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4870/
Master's degree,MSc Applied Geosciences – Energy & Mineral Resources (EMR),RWTH Aachen University,Aachen,Earth Sciences (excluding Geography),English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4570/
Master's degree,"MSc Applied Geosciences: Sustainable Energy, Resources & Storage (ERS)",Karlsruhe Institute of Technology,Karlsruhe,Earth Sciences (excluding Geography),English,"Winter semester, Summer semester",4 semesters,"EUR 1,500",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7847/
Master's degree,MSc Artificial Intelligence,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS),Würzburg,Computer Science,English,Summer semester,3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7852/
Master's degree,MSc Artificial Intelligence and Data Science,Deggendorf Institute of Technology,Deggendorf,Computer Science,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7124/
Master's degree,MSc Autonomy Technologies,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8925/
